title,releaseDate,genre,language
Brigsby Bear,2017-07-28,Comedy,English
MDMA,2018-09-14,"Crime, Drama",English
Surge of Power: Revenge of the Sequel,2018-01-05,"Comedy, Lgbtq+",English
Cinema Sabaya,2023-02-10,Drama,Hebrew
The Battle at Lake Changjin,2021-11-19,"War, Action, Drama",Chinese
Train to Busan,2016-07-22,"Horror, Mystery & thriller, Action",Korean
Nanny,2022-11-23,"Horror, Mystery & thriller",English
The Salesman,2017-01-27,Drama,Persian
The Mustang,2019-03-15,Drama,English
Intent to Destroy,2017-11-10,Documentary,English
The Domestics,2018-06-29,"Action, Mystery & thriller",English
Silicon Cowboys,2016-09-16,Documentary,English
Strike a Pose,2017-01-18,"Documentary, Music, Lgbtq+",English
The Elephant Queen,2019-10-18,"Documentary, Adventure, Comedy, Drama",English (United Kingdom)
My Life as a Zucchini,2017-02-24,"Comedy, Drama, Animation",French (France)
Jackie,2017-01-27,"History, Drama, Biography",English
The Whale,2022-12-21,Drama,English
A Dog's Journey,2019-05-17,"Kids & family, Comedy, Drama, Fantasy, Adventure",English
Bohemian Rhapsody,2018-11-02,"Biography, History, Drama, Music, Lgbtq+",English
They'll Love Me When I'm Dead,2018-11-02,Documentary,English
Paddington 2,2018-01-12,"Kids & family, Comedy, Adventure",English (United Kingdom)
Jumanji: Welcome to the Jungle,2017-12-20,"Adventure, Action, Comedy, Fantasy",English
The Bad Kids,2016-01-22,Documentary,English
Swallow,2020-03-06,Mystery & thriller,English
The Dawn Wall,2018-09-14,Documentary,English
The Broken Hearts Gallery,2020-09-11,"Romance, Comedy",English
The Walk,2015-10-09,"Biography, Drama, Adventure",English
Back to the Outback,2021-12-03,"Kids & family, Comedy, Adventure, Animation",English
The Nice Guys,2016-05-20,"Action, Comedy, Mystery & thriller",English
God's Time,2023-02-24,"Mystery & thriller, Comedy, Drama",English
I'm Your Woman,2020-12-04,"Drama, Mystery & thriller",English
Bethany Hamilton: Unstoppable,2019-07-12,Documentary,English
Harry Benson: Shoot First,2016-12-09,Documentary,English
Where the Crawdads Sing,2022-07-15,"Drama, Mystery & thriller",English
Useless Humans,2020-07-14,"Comedy, Sci-fi",English
The Marksman,2021-01-15,"Action, Mystery & thriller",English
She Will,2022-07-15,"Drama, Mystery & thriller",English
The Woman Who Loves Giraffes,2019-10-04,Documentary,English
Hive,2021-11-05,Drama,Albanian
Hail Satan?,2019-04-17,Documentary,English
She Dies Tomorrow,2020-07-31,"Mystery & thriller, Drama",English
Benny Loves You,2021-05-07,"Horror, Comedy",English (United Kingdom)
Patriots Day,2017-01-13,"Crime, Drama, Mystery & thriller",English
City of Ghosts,2017-07-07,"Documentary, War",English
Mississippi Grind,2015-09-25,Drama,English
You Were Never Really Here,2018-04-06,"Mystery & thriller, Drama",English (United Kingdom)
Sunken Roads: Three Generations After D-Day,2020-12-18,Documentary,English
The Game Changers,2019-09-16,Documentary,English
The Class,2022-09-09,"Comedy, Drama",English
The Hunting Ground,2015-02-27,Documentary,English
Jurassic Punk,2022-12-16,"Documentary, Biography",English
Old Henry,2021-10-01,"Western, Action",English
Oliver Sacks: His Own Life,2020-09-23,Documentary,English
Blood Stripe,2017-09-29,"Drama, Mystery & thriller",English
Summer 1993,2018-05-25,Drama,Catalan
Window Horses,2017-09-22,"Comedy, Drama, Animation",English
The Beatles: Get Back - The Rooftop Concert,2022-01-30,"Documentary, Music",English
The Seven Faces of Jane,2023-01-13,Drama,English
Rock Rubber 45s,2018-06-28,Documentary,English
Eternal Spring,2022-10-14,"Documentary, Animation, History",Chinese
We Have Always Lived in the Castle,2019-05-17,Mystery & thriller,English
Nanpakal Nerathu Mayakkam,2023-01-19,Drama,Tamil
A Journal for Jordan,2021-12-25,"Drama, Romance",English
Hustlers,2019-09-13,"Comedy, Drama",English
BPM (Beats Per Minute),2017-10-20,"Drama, Lgbtq+",French (France)
DriverX,2018-11-30,"Comedy, Drama",English
Eagles of Death Metal: Nos Amis (Our Friends),2017-02-10,"Documentary, Music",English
Midnighters,2018-03-02,"Holiday, Horror, Mystery & thriller",English
The Cage Fighter,2018-02-02,Documentary,English
Jim Gaffigan: Noble Ape,2018-07-13,Comedy,English
Detention,2021-10-08,Horror,Chinese
A Hard Day,2015-07-17,"Mystery & thriller, Action",Korean
M.F.A.,2017-10-13,Mystery & thriller,English
Foxtrot,2018-03-02,Drama,Hebrew
The Planters,2020-10-09,Comedy,English
Confetti,2021-08-20,Drama,English
Mass,2021-10-08,Drama,English
They Call Us Monsters,2017-01-20,Documentary,English
Causeway,2022-11-04,Drama,English
Betting on Zero,2017-03-10,Documentary,English
The Integrity of Joseph Chambers,2023-02-17,"Drama, Mystery & thriller",English
Thirteen Lives,2022-07-29,Drama,English
Beans,2021-11-05,Drama,English
Coming Home in the Dark,2021-10-01,"Horror, Mystery & thriller",English (Australia)
Cinderella,2015-03-13,"Kids & family, Fantasy, Romance",English
The Trial of the Chicago 7,2020-10-16,"History, Drama",English
Free Guy,2021-08-13,"Action, Adventure, Comedy",English
Take Me to the River: New Orleans,2022-04-22,"Documentary, Music",English
Extraordinary Mission,2017-04-07,"Action, Mystery & thriller",Chinese
The Pearl Button,2015-10-23,Documentary,Spanish
Doctor Sleep,2019-11-08,"Horror, Mystery & thriller",English
Bros,2022-09-30,"Romance, Comedy, Lgbtq+",English
Phantom Thread,2018-01-19,"Drama, Romance",English
Haze,2017-10-13,Drama,English
Family Camp,2022-05-13,"Kids & family, Comedy",English
India Sweets and Spices,2021-11-19,"Comedy, Drama, Romance",English
SPL 2: A Time for Consequences,2016-05-13,"Action, Mystery & thriller",Chinese
The Battleship Island,2017-07-28,"History, Drama, Action",Korean
Ghost Stories,2018-04-20,"Horror, Mystery & thriller",English
Logan,2017-03-03,"Action, Adventure, Fantasy",English
Ten Minutes to Midnight,2020-09-17,"Horror, Mystery & thriller",English
Shiva Baby,2021-04-02,"Comedy, Lgbtq+, Drama",English
Big Fish & Begonia,2018-04-06,"Fantasy, Adventure, Anime",Chinese
Cowboys,2021-02-12,Drama,English
The Man in the Basement,2023-01-27,"Mystery & thriller, Drama",French (France)
The Little Prince,2016-08-05,"Adventure, Fantasy, Animation",English
Nuts!,2016-06-22,Documentary,English
Sunset Song,2016-05-13,"History, Drama",English
The Wailing,2016-05-20,"Mystery & thriller, Horror",Korean
Take the Night,2022-07-08,"Mystery & thriller, Crime, Drama",English
Chandigarh Kare Aashiqui,2021-12-10,"Romance, Action, Drama",Hindi
DC League of Super-Pets,2022-07-29,"Kids & family, Comedy, Adventure, Animation",English
Hill of Freedom,2020-06-12,Drama,Korean
Havana Motor Club,2016-04-08,"Documentary, Drama",Spanish
The Lady in the Van,2016-02-19,"Biography, Drama, Comedy",English (United Kingdom)
Letter From Masanjia,2018-09-14,Documentary,English
Elizabeth Blue,2017-09-22,Drama,English
All In: The Fight for Democracy,2020-09-09,Documentary,English
"Goodbye, Don Glees!",2022-09-14,"Kids & family, Adventure, Anime, Drama",Japanese
Ford v Ferrari,2019-11-15,"History, Drama, Biography",English
Roadrunner: A Film About Anthony Bourdain,2021-07-16,Documentary,English
Coup 53,2020-08-21,Documentary,English
In Jackson Heights,2015-11-04,Documentary,English
Downton Abbey,2019-09-20,Drama,English
Avengers: Infinity War,2018-04-27,"Action, Adventure, Fantasy, Sci-fi",English
Ne Zha,2019-09-06,"Fantasy, Adventure, Animation",Chinese
Fully Realized Humans,2021-07-30,"Comedy, Drama",English
Civil: Ben Crump,2022-06-17,Documentary,English
She Said,2022-11-18,Drama,English
Summertime,2021-07-09,"Comedy, Drama",English
Passage to Mars,2016-09-30,Documentary,English
Beasts of No Nation,2015-10-16,"War, Drama",English
High Strung Free Dance,2019-10-11,Romance,English
Hero Mode,2021-06-04,"Comedy, Kids & family",English
Taurus,2022-11-18,"Drama, Music",English
Dragon Ball Super: Super Hero,2022-08-19,"Action, Adventure, Fantasy, Anime",Japanese
Tijuana Jackson: Purpose Over Prison,2020-07-24,Comedy,English
Aida's Secrets,2017-10-20,Documentary,English
The Reason I Jump,2021-01-08,Documentary,English
Pad Man,2018-02-09,"Comedy, Drama",Hindi
Lover for a Day,2018-01-12,Drama,French (France)
Apprentice,2017-03-03,Drama,Malay
Rams,2021-02-05,"Comedy, Drama",English (Australia)
Different Flowers,2017-09-29,"Comedy, Drama",English
The Heart of Nuba,2018-04-06,Documentary,English
Super 30,2019-07-12,"Biography, Drama",Hindi
Long Day's Journey Into Night,2019-04-12,"Mystery & thriller, Drama",Chinese
Funny Pages,2022-08-26,Comedy,English
Kajillionaire,2020-09-25,"Comedy, Drama",English
The Gospel According to André,2018-05-25,Documentary,English
Skid Row Marathon,2019-03-22,Documentary,English
Gagarine,2022-04-01,Drama,French (France)
Jethica,2023-01-13,"Comedy, Drama, Mystery & thriller",English
Sweet Country,2018-04-06,"Western, History, Drama",English (Australia)
Arcadia,2016-03-05,"Drama, Fantasy, Mystery & thriller",English
The Beatles: Eight Days a Week -- The Touring Years,2016-09-16,"Documentary, Music",English
Breaking a Monster,2016-06-24,"Documentary, Music",English
What They Had,2018-10-19,Drama,English
Against the Night,2017-09-15,Horror,English
What We Do Next,2023-03-03,Drama,English
An Elephant Sitting Still,2019-03-08,Drama,Chinese
Far From Men,2015-05-01,Drama,French (Canada)
Doobious Sources,2017-01-20,Comedy,English
The Farthest,2017-08-11,Documentary,English (United Kingdom)
They Will Have to Kill Us First,2016-03-04,Documentary,French (Canada)
Moynihan,2018-10-03,Documentary,English
Hesburgh,2019-04-26,Documentary,English
Citizen K,2019-11-22,Documentary,English
The Girl and the Spider,2022-04-08,Drama,German
Eye in the Sky,2016-04-01,"Mystery & thriller, War, Drama",English
Elián,2017-05-19,Documentary,English
After We Leave,2020-02-21,"Sci-fi, Drama",English
Screwball,2019-03-29,Documentary,English
Sausage Party,2016-08-12,"Comedy, Adventure, Animation",English
Golden Voices,2021-10-08,"Comedy, Drama, Romance",Russian
Clemency,2019-12-27,Drama,English
Corsage,2022-12-23,"History, Drama, Biography",German
Human Nature,2020-03-13,Documentary,English
Midnight Special,2016-04-08,"Sci-fi, Mystery & thriller",English
The Death of Louis XIV,2017-03-31,"History, Drama, Biography",French (France)
Mirai,2018-11-29,"Kids & family, Fantasy, Adventure, Anime",Japanese
Rosie,2019-07-19,Drama,English (United Kingdom)
Avengers: Endgame,2019-04-26,"Action, Adventure, Fantasy, Sci-fi",English
The Load,2019-08-30,Drama,Serbian
A Cool Fish,2018-11-16,Comedy,Chinese
The Human Voice,2021-03-12,Drama,English
Crime + Punishment,2018-08-24,Documentary,English
Other People,2016-09-09,"Comedy, Drama, Lgbtq+",English
Country Gold,2023-03-16,"Comedy, Fantasy",English
Roll Red Roll,2019-03-22,"Documentary, Crime, Drama",English
Stay the Night,2022-10-07,"Romance, Drama",English
Dawson City: Frozen Time,2017-06-09,Documentary,English
Eva Hesse,2016-04-27,"Documentary, Biography, History, Drama",English
Mission: Impossible - Fallout,2018-07-27,"Action, Adventure, Mystery & thriller",English
Rojo,2019-07-12,"Drama, Mystery & thriller",Spanish
Luzzu,2021-10-15,Drama,Maltese
The Woman King,2022-09-16,"Action, Adventure, History, Drama, War",English
Wonder Woman,2017-06-02,"Action, Adventure, Fantasy",English
Gloria Bell,2019-03-22,"Romance, Comedy",English
The Shadow of Violence,2020-07-31,"Crime, Drama, Mystery & thriller",English (United Kingdom)
Woman at War,2019-03-01,"Comedy, Drama",Icelandic
Peace by Chocolate,2022-04-29,"Comedy, Drama",English
Fences,2016-12-25,Drama,English
Next Exit,2022-11-04,Sci-fi,English
Vesper,2022-09-30,"Sci-fi, Mystery & thriller",English
Jingle Jangle: A Christmas Journey,2020-11-13,"Kids & family, Holiday, Musical, Fantasy",English
Harriet,2019-11-01,"Biography, History, Drama",English
Silencio,2018-10-26,Mystery & thriller,English
Spy,2015-06-05,"Comedy, Action",English
Finding Dory,2016-06-17,"Kids & family, Comedy, Adventure, Animation",English
Inxeba,2017-08-16,"Drama, Lgbtq+",Afrikaans
The Adventures of Errol Flynn,2019-01-25,"Biography, Adventure",English (Australia)
Spirited,2022-11-11,"Holiday, Musical, Comedy, Fantasy",English
Gabby Giffords Won't Back Down,2022-07-15,Documentary,English
Everybody Wants Some!!,2016-04-22,Comedy,English
Badhaai Do,2022-02-11,"Comedy, Drama",Hindi
"Argentina, 1985",2022-09-30,Drama,Spanish
Glass Chin,2015-06-26,"Drama, Mystery & thriller",English
Behemoth,2017-01-27,Documentary,Chinese
Selena Gomez: My Mind and Me,2022-11-04,"Documentary, Biography",English
Theo Who Lived,2016-10-07,Documentary,English
Auggie,2019-09-20,"Drama, Sci-fi",English
Saving Mr. Wu,2015-10-02,"Crime, Drama, Mystery & thriller",Chinese
Catch the Fair One,2022-02-11,"Mystery & thriller, Drama",English
Things to Come,2016-12-02,Drama,French (France)
Living,2022-12-23,Drama,English
What Haunts Us,2018-05-11,Documentary,English
I Am Lisa,2020-10-09,"Horror, Mystery & thriller",English
Lucky Grandma,2020-05-22,Drama,English
Soufra,2017-11-17,Documentary,Arabic
A Mouthful of Air,2021-10-29,Drama,English
Love Thy Nature,2016-04-22,Documentary,English
Topside,2022-03-25,Drama,English
Isle of Dogs,2018-04-06,"Comedy, Adventure, Animation",English
Maria by Callas: In Her Own Words,2018-11-02,"Documentary, Biography, Music",English
Level 16,2019-03-01,"Sci-fi, Mystery & thriller",English
Our Last Tango,2016-04-15,Documentary,Spanish
Maleficent: Mistress of Evil,2019-10-18,"Fantasy, Adventure",English
The Pay Day,2022-11-11,"Comedy, Mystery & thriller",English (United Kingdom)
Saving Brinton,2017-09-17,Documentary,English
Super Deluxe,2019-03-29,Mystery & thriller,Tamil
The Vigil,2021-02-26,"Horror, Mystery & thriller",English
Encanto,2021-11-24,"Kids & family, Musical, Comedy, Fantasy, Animation",English
Closure,2019-10-18,"Comedy, Drama",English
The Guilty,2018-10-19,"Mystery & thriller, Crime, Drama",Danish
Our Evil,2019-05-10,Horror,Portuguese (Brazil)
Pompo the Cinephile,2022-04-27,"Drama, Anime, Comedy",Japanese
Birdman or (The Unexpected Virtue of Ignorance),2015-01-16,"Comedy, Drama",English
Ktown Cowboys,2016-03-18,"Comedy, Drama",English
The Outpost,2020-07-03,"War, Drama",English
Paper Spiders,2021-05-07,"Drama, Comedy",English
The Transfiguration,2017-04-07,"Horror, Mystery & thriller",English
Tangerines,2015-04-17,"Drama, War",Estonian
Father Never Bothered,2017-01-27,Comedy,Spanish
Satan & Adam,2019-04-12,"Documentary, Music",English
The Harbinger,2022-12-01,"Horror, Mystery & thriller, Drama",English
The Happiest Day in the Life of Olli Mäki,2017-04-21,Drama,Finnish
Last Call,2020-11-25,"Biography, Drama",English
The Phantom of the Open,2022-06-03,"Comedy, Drama",English
Phantom Boy,2016-07-15,"Fantasy, Adventure, Comedy, Animation",French (France)
Girl Asleep,2016-09-23,"Comedy, Drama",English (Australia)
The Twentieth Century,2020-11-20,"Comedy, Drama",English
Doctor Strange,2016-11-04,"Action, Adventure, Fantasy",English
The Divine Order,2017-10-27,"History, Drama",German
Saint Maud,2021-01-29,Horror,English
Hold Me Tight,2022-09-09,Drama,French (France)
Wrestling Jerusalem,2017-02-03,Drama,English
The Anthropologist,2016-11-11,Documentary,English
Sorry to Bother You,2018-07-13,"Comedy, Fantasy, Sci-fi",English
The Vanishing,2019-01-04,Mystery & thriller,English
Clerks III,2022-09-13,Comedy,English
As They Made Us,2022-04-08,"Comedy, Drama, Romance",English
76 Days,2021-01-23,Documentary,Chinese
Vikram,2022-06-03,"Mystery & thriller, Action",Hindi
Year by the Sea,2017-09-08,Drama,English
Dragon Ball Z: Resurrection F,2015-08-04,"Kids & family, Action, Adventure, Fantasy, Anime",Japanese
The Independents,2021-02-26,"Comedy, Drama",English
Fake Blood,2018-02-09,"Documentary, Horror",English
Koko-di Koko-da,2020-11-06,"Horror, Comedy, Fantasy",Swedish
The Red Turtle,2017-01-20,"Adventure, Animation",Unknown language
Alt-Right: Age of Rage,2018-08-17,Documentary,English
Mission Control: The Unsung Heroes of Apollo,2017-04-14,"Documentary, History, Drama",English
Sensation,2021-12-31,"Sci-fi, Mystery & thriller",English (United Kingdom)
Little Men,2016-08-05,Drama,English
Becks,2018-02-09,"Drama, Music, Lgbtq+",English
On the Way to School,2015-02-06,Documentary,French (Canada)
Your Name,2017-04-07,"Fantasy, Romance, Anime",Japanese
The American Dream and Other Fairy Tales,2022-09-16,Documentary,English
Breathe,2015-09-11,Drama,French (France)
X Plus Y,2015-09-11,"Comedy, Drama",English (United Kingdom)
One Night in Miami,2020-12-25,Drama,English
David Lynch: The Art Life,2017-03-31,Documentary,English
The Kid Who Would Be King,2019-01-25,"Kids & family, Fantasy, Adventure",English
Deepwater Horizon,2016-09-30,"Mystery & thriller, Action, Drama",English
Tunnel,2016-08-26,"Drama, Mystery & thriller",Korean
The Wave,2016-03-04,"Mystery & thriller, Adventure, Action",Norwegian
A Monster With a Thousand Heads,2016-05-11,"Mystery & thriller, Drama",Spanish
Personal Shopper,2017-03-10,"Mystery & thriller, Drama",English
A Jazzman's Blues,2022-09-16,Drama,English
Adverse,2021-02-12,"Mystery & thriller, Action, Crime, Drama",English
The Big Short,2015-12-23,"Comedy, Drama",English
Free Solo,2018-09-28,Documentary,English
Honey Boy,2019-11-08,Drama,English
S...house,2020-10-16,Comedy,English
Morris From America,2016-08-19,"Comedy, Drama",English
The Survivalist,2017-05-19,"Mystery & thriller, Drama",English (United Kingdom)
Paths of the Soul,2016-05-13,Documentary,Tibetan
Do Not Resist,2016-09-30,Documentary,English
Laal Singh Chaddha,2022-08-11,"Comedy, Drama",Hindi
A Taxi Driver,2017-08-11,"Action, History, Drama",Korean
Dark Money,2018-07-13,Documentary,English
Son of Monarchs,2021-10-15,Drama,English
Gordon Lightfoot: If You Could Read My Mind,2020-07-29,"Documentary, Biography, Music",English
McQueen,2018-07-20,Documentary,English (United Kingdom)
Swing Kids,2018-12-21,"Drama, Musical",Korean
Bad Reputation,2018-09-28,"Documentary, Music",English
The Meyerowitz Stories (New and Selected),2017-10-13,Comedy,English
Score: A Film Music Documentary,2017-06-16,"Documentary, Music",English
"I, Tonya",2018-01-12,"Biography, Comedy, Drama",English
Twenty Two,2017-09-08,Documentary,Chinese
Kickboxer: Retaliation,2018-01-26,"Action, Drama",English
"""Sr.""",2022-11-18,Documentary,English
Baja,2018-04-13,Comedy,English
Tyson's Run,2022-03-11,Drama,English
Recovery Boys,2018-06-29,Documentary,English
Bennett's War,2019-08-30,Drama,English
Joshua: Teenager vs. Superpower,2017-05-26,Documentary,English
November,2018-02-23,"Fantasy, Drama, Romance, Horror",Estonian
Another Day of Life,2019-09-13,"Biography, Animation",English
Shazam!,2019-04-05,"Action, Adventure, Comedy, Fantasy",English
A Dark Foe,2021-07-30,"Mystery & thriller, Crime, Drama",English
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",2017-06-16,Documentary,English
The Student,2017-04-21,Drama,Russian
Playground,2022-02-11,Drama,French (France)
Loving Vincent,2017-09-22,"History, Drama, Biography, Animation",English (United Kingdom)
Extremity,2018-09-28,Horror,English
Father,2022-04-15,Drama,Serbian
Okja,2017-06-28,"Adventure, Drama, Fantasy, Mystery & thriller, Sci-fi",English
The Final Year,2018-01-19,Documentary,English
Greater,2016-08-26,"Biography, Drama",English
RBG,2018-05-25,Documentary,English
Liyana,2018-10-10,Documentary,English
Infinitely Polar Bear,2015-06-19,"Comedy, Drama",English
All These Small Moments,2019-01-17,Drama,English
Birdboy: The Forgotten Children,2017-12-15,"Fantasy, Adventure, Animation",Spanish (Spain)
Relic,2020-07-10,"Horror, Drama",English
Loving,2016-11-23,"History, Drama, Biography",English
Kapoor & Sons -- Since 1921,2016-03-18,"Romance, Comedy",Hindi
The Lost Leonardo,2021-08-13,"Documentary, Drama",English
Finders Keepers,2015-09-25,Documentary,English
Burden,2020-02-28,Drama,English
Gabriel and the Mountain,2018-06-15,"Drama, Adventure",English
Carmen,2022-09-23,Drama,English
Villains,2019-09-20,"Comedy, Drama",English
Sunshine Superman,2015-05-22,Documentary,English
For the Love of Spock,2016-09-09,Documentary,English
Pearl,2022-09-16,"Horror, Mystery & thriller, Comedy",English
Bumblebee,2018-12-21,"Action, Adventure, Sci-fi",English
Broker,2022-12-26,Drama,Korean
Fatima,2016-08-26,Drama,French (France)
All the Streets Are Silent: The Convergence of Hip Hop and Skateboarding (1987-1997),2021-07-23,"Documentary, Music",English
The Banker,2020-03-06,"History, Drama",English
Tito and the Birds,2019-01-25,"Drama, Action, Animation",Portuguese (Brazil)
Railway Children,2022-09-23,"Drama, War, Kids & family",English (United Kingdom)
Son of Saul,2015-12-18,"History, Drama",German
The Humans,2021-11-24,"Holiday, Comedy, Drama",English
Violet Evergarden: The Movie,2021-03-30,"Fantasy, Anime",Japanese
The Black Panthers: Vanguard of the Revolution,2015-09-02,"Documentary, History, Drama",English
"Alice, Darling",2022-12-30,Mystery & thriller,English
Both Sides of the Blade,2022-07-08,"Romance, Mystery & thriller, Drama",French (France)
Shirley,2020-06-05,"Drama, Mystery & thriller",English
Hard Luck Love Song,2021-10-15,Drama,English
Luca,2021-06-18,"Kids & family, Comedy, Fantasy, Animation",English
Days,2021-08-13,"Documentary, Drama",Chinese
Sound of Metal,2020-11-20,Drama,English
Bliss,2019-09-27,"Horror, Drama, Mystery & thriller",English
A Christmas Horror Story,2015-10-02,"Holiday, Horror, Mystery & thriller, Comedy",English
Capital in the Twenty-First Century,2020-04-03,Documentary,English
The Croods: A New Age,2020-11-25,"Kids & family, Comedy, Adventure, Animation",English
Night Comes On,2018-08-03,Drama,English
Ready or Not,2019-08-21,"Horror, Mystery & thriller, Comedy",English
My Friend Dahmer,2017-11-03,"Biography, Drama",English
The Rescue,2021-10-08,"Documentary, Drama, Mystery & thriller",English
Long Distance,2015-07-10,"Romance, Drama",Spanish
Lapsis,2021-02-12,"Sci-fi, Drama, Mystery & thriller, Comedy",English
Milkwater,2021-05-21,"Comedy, Drama, Lgbtq+",English
End of Sentence,2020-05-29,Drama,English
Born in China,2017-04-21,Documentary,English
Soft & Quiet,2022-11-04,"Horror, Mystery & thriller, Drama",English
Jackass Forever,2022-02-04,Comedy,English
The Lost Daughter,2021-12-31,Drama,English
Fanny: The Right to Rock,2022-05-27,"Documentary, Music",English
Batla House,2019-08-15,"Mystery & thriller, Drama",Hindi
Southwest of Salem: The Story of the San Antonio Four,2016-09-14,Documentary,English
Remember This,2023-01-27,"Drama, History",English
The Dark and the Wicked,2020-11-06,"Horror, Mystery & thriller",English
News of the World,2020-12-25,"Western, Adventure, Drama",English
Roald Dahl's Matilda the Musical,2022-12-09,"Kids & family, Musical, Comedy, Drama, Fantasy",English
Matangi/Maya/M.I.A.,2018-09-28,"Documentary, Music",English
Emptying the Skies,2015-04-22,Documentary,English
The Wonder,2022-11-02,"Mystery & thriller, Drama",English (United Kingdom)
As I Open My Eyes,2016-09-09,Drama,Arabic
Oasis Knebworth 1996,2021-09-23,"Documentary, Music",English
Norman Lear: Just Another Version of You,2016-07-08,Documentary,English
I Am Jane Doe,2017-02-10,Documentary,English
Good Boys,2019-08-16,Comedy,English
Hermia & Helena,2017-05-26,"Comedy, Drama",English
Wasted! The Story of Food Waste,2017-10-13,Documentary,English
Nise: The Heart of Madness,2017-04-28,"Biography, Drama, History",Portuguese (Brazil)
Toy Story 4,2019-06-21,"Kids & family, Comedy, Adventure, Fantasy, Animation",English
The Swearing Jar,2022-09-23,"Romance, Comedy, Music",English
Good Manners,2018-07-27,"Horror, Fantasy, Lgbtq+",Portuguese (Brazil)
Matt Shepard Is a Friend of Mine,2015-02-06,"Documentary, Biography, Lgbtq+",English
I Still Believe,2020-03-13,"Biography, Drama, Romance, Music",English
Pimp,2018-11-09,"Crime, Drama",English
Farewell Amor,2020-12-11,Drama,English
Hillbilly Elegy,2020-11-11,Drama,English
Susanne Bartsch: On Top,2018-09-07,Documentary,English
A United Kingdom,2017-02-10,"History, Drama, Biography, Romance",English
The Idol,2016-05-27,"Biography, Drama, Music",Arabic
Queer Japan,2020-12-11,"Documentary, Lgbtq+",Japanese
Being 17,2016-10-07,"Drama, Lgbtq+",French (France)
Tankhouse,2022-05-13,Comedy,English
Black Mother,2019-03-08,Documentary,English
The Family Fang,2016-04-29,"Comedy, Drama",English
The Mauritanian,2021-02-12,"Drama, Mystery & thriller",English
Fourth of July,2022-07-01,"Holiday, Comedy, Drama",English
A Pigeon Sat on a Branch Reflecting on Existence,2015-06-03,"Comedy, Drama",Swedish
Monsoon,2020-11-13,Drama,English (United Kingdom)
Descendant,2022-10-21,Documentary,English
The Disaster Artist,2017-12-08,"Comedy, Drama",English
"Standing Up, Falling Down",2020-02-21,"Comedy, Drama",English
Hereditary,2018-06-08,"Horror, Mystery & thriller",English
Firebird,2022-04-29,"Drama, Romance, Lgbtq+, History",English
Clara Sola,2022-07-01,Drama,Spanish
Once Upon a Time... In Hollywood,2019-07-26,"Comedy, Drama",English
De Palma,2016-06-10,Documentary,English
Lucky,2017-09-29,"Comedy, Drama",English
C'mon C'mon,2021-11-19,Drama,English
Wild,2019-04-10,"Drama, Lgbtq+",French (France)
Just Say Goodbye,2019-05-10,Drama,English
Rebels of the Neon God,2015-04-10,Drama,Chinese
The First Fallen,2023-02-17,"Drama, Lgbtq+",Portuguese (Brazil)
Overcomer,2019-08-23,Drama,English
My Blind Brother,2016-09-23,"Romance, Comedy",English
Grace Jones: Bloodlight and Bami,2018-04-13,"Documentary, Music",English (United Kingdom)
Azor,2021-09-10,"Drama, Mystery & thriller",French (France)
Stoker Hills,2022-01-14,"Horror, Mystery & thriller, Action",English
iMordecai,2023-02-10,"Comedy, Drama",English
On the Seventh Day,2018-06-08,Drama,Spanish
Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,2023-03-03,"Fantasy, Adventure, Action, Anime",Japanese
Cruella,2021-05-28,"Comedy, Kids & family",English
Petrov's Flu,2022-09-23,"Comedy, Crime, Drama, Fantasy",Russian
The Mitchells vs. the Machines,2021-04-23,"Kids & family, Comedy, Adventure, Animation, Action, Sci-fi",English
Bilal: A New Breed of Hero,2018-02-02,"Action, Adventure, Animation",English
Ailey,2021-07-23,Documentary,English
Most Likely to Succeed,2019-12-06,Documentary,English
Certain Women,2016-10-14,Drama,English
The Club,2016-02-05,Drama,Spanish
Intelligent Lives,2018-09-21,Documentary,English
American Night,2021-10-01,"Action, Mystery & thriller",English
The Levelling,2017-03-24,Drama,English
Petite Maman,2022-04-22,Drama,French (France)
Burden,2017-05-05,Documentary,English
The Lost City of Z,2017-04-21,"Adventure, History, Drama, Biography",English
Carol,2016-01-08,"Romance, Drama, Lgbtq+",English
Santoalla,2017-07-19,"Documentary, Mystery & thriller",English
In Harmony,2016-04-22,"Comedy, Drama",French (France)
Waiting for Bojangles,2022-09-02,"Romance, Drama",French (France)
The Great Battle,2018-09-21,"Action, Adventure, War",Korean
Avengement,2019-05-24,Action,English (United Kingdom)
To Dust,2019-02-08,"Comedy, Drama",English
The African Desperate,2022-09-16,Drama,English
Born to Be Blue,2016-03-25,"Biography, History, Drama, Romance, Music",English
Captain America: Civil War,2016-05-06,"Action, Adventure, Fantasy",English
The Innocents,2016-07-01,"History, Drama",French (France)
The Second Mother,2015-08-28,Drama,Portuguese (Brazil)
Madeline's Madeline,2018-08-10,Drama,English
Liz and the Blue Bird,2018-11-09,"Drama, Animation",Japanese
The Peanuts Movie,2015-11-06,"Kids & family, Comedy, Adventure, Animation",English
Gook,2017-08-18,"Comedy, Drama",English
Bloody Hell,2021-01-14,"Horror, Comedy",English
"Love, Charlie: The Rise and Fall of Chef Charlie Trotter",2022-11-18,Documentary,English
Listen to Me Marlon,2015-07-29,Documentary,English
